name,sku,price,all_ln_stock,supplier,manufacturer,category_ids
"[WD20EFRX] WD RED/2TB/INTELLIPOWER/DDR2/64MBs/3.5""/ 3YRS",WD20EFRX,128,In Stock,synnex,Western Digital,23
"[WD20EZRX] 3.5"" WD GREEN, 2TB,INTELIPOWER,64MB,SATA III,2YRS",WD20EZRX,99,In Stock,synnex,Western Digital,23
"[WD20NPVX] WD Green 2TB Internal 2.5-inch Mobile Hard Drive, SATA 6Gb/s, 8MB Cache, 15mm height",WD20NPVX,182,In Stock,synnex,Western Digital,23
"[WD3000F9YZ] WD SE 3TB,3.5"",SATA3 6GB/S,7200RPM,64MB,5YRS, ENTERPRISE",WD3000F9YZ,242,In Stock,synnex,Western Digital,23
"[WD3000FYYZ] WD RE 3TB,3.5"",SATA3 6GB/S,7200RPM,64MB,5YRS, ENTERPRISE",WD3000FYYZ,315,In Stock,synnex,Western Digital,23
"[WD3001FYYG] WD RE SAS 3TB,3.5"",SAS 6GB/S,7,200RPM,32MB,5YRS",WD3001FYYG,355,In Stock,synnex,Western Digital,23
[WD3003FZEX] WD Black 3 TB SATA 6 Gb/s/64 MB/7200 RPM,WD3003FZEX,225,Pre Order,synnex,Western Digital,23
"[WD30EFRX] WD RED/3TB/INTELLIPOWER/DDR2/64MBs/3.5""/ 3YRS",WD30EFRX,159,In Stock,synnex,Western Digital,23
"[WD30EZRX] WD GREEN/3TB/IntelliPower/SATA3/64MB/3.5""/ADV FORMAT/2YR",WD30EZRX,129,Pre Order,synnex,Western Digital,23
[WD3200LPVX] WD Blue 320 GB SATA 6 Gb/s 2.5-inch internal mobile hard drive,WD3200LPVX,55,In Stock,synnex,Western Digital,23
"[WD4000F9YZ] WD SE 4TB,3.5"",SATA3 6GB/S,7200RPM,64MB,5YRS, ENTERPRISE",WD4000F9YZ,305,In Stock,synnex,Western Digital,23
"[WD4000FYYZ] WD RE 4TB,3.5"",SATA3 6GB/S,7200RPM,64MB,5YRS, ENTERPRISE",WD4000FYYZ,379,Pre Order,synnex,Western Digital,23
"[WD4001FYYG] WD RE SAS 4TB,3.5"",SAS 6GB/S,7,200RPM,32MB,5YRS",WD4001FYYG,459,In Stock,synnex,Western Digital,23
"[WD4003FZEX] WD Black 4 TB SATA 6 Gb/3.5""/64 MB/7200 RPM",WD4003FZEX,295,In Stock,synnex,Western Digital,23
"[WD40EFRX] WD RED/4TB/INTELLIPOWER/DDR2/64MB/3.5""/ 3YRS",WD40EFRX,227,In Stock,synnex,Western Digital,23
"[WD40EZRX] WD GREEN/4TB/IntelliPower/SATA3/64MB/3.5""/ADV FORMAT/2YR",WD40EZRX,189,In Stock,synnex,Western Digital,23
"[WD5000AAKX] WD BLUE/500GB/7200RPM/SATA3/16MB CACHE/3.5""/ 2YRS",WD5000AAKX,69,In Stock,synnex,Western Digital,23
"[WD5000AZRX] WD GREEN,500GB,INTELLIPOWER,SATA3,64MB,2YRS",WD5000AZRX,65,In Stock,synnex,Western Digital,23
"[WD5000HHTZ] 3.5"" VELOCIRAPTOR,500GB,64MB,SATA,5YRS",WD5000HHTZ,182,In Stock,synnex,Western Digital,23
[WD5000LPVX] WD Blue 500 GB SATA 6 Gb/s 2.5-inch internal mobile hard drive,WD5000LPVX,58,In Stock,synnex,Western Digital,23
"[WD5003ABYZ] 3.5"" WD RE4, 500GB, 7200RPM, 64MB, SATA 6 GB/S, 5YRS, ENTERPRISE",WD5003ABYZ,115,In Stock,synnex,Western Digital,23
"[WD5003AZEX] 3.5"" WD BLACK,500GB,7200RPM,64MB CACHE,SATA III,5YRS",WD5003AZEX,89,In Stock,synnex,Western Digital,23
"[WD7500BPKX] 2.5"" WD BLACK,750GB,7200RPM,16MB,SATA III,5YRS",WD7500BPKX,79,In Stock,synnex,Western Digital,23
[WD7500BPVX] WD Blue 750 GB SATA 6 Gb/s 2.5-inch internal mobile hard drive,WD7500BPVX,62,In Stock,synnex,Western Digital,23
[WD9001BKHG] WD XE 900 GB SAS 6 Gb/s 2.5-inch Internal Enterprise Hard Drive 5yrs warranty,WD9001BKHG,559,In Stock,synnex,Western Digital,23
"[ST1000DM003] BARRACUDA 1TB,7200RPM,SATAIII 6GB/S,3.5"",64MB",ST1000DM003,73,In Stock,synnex,Seagate,23
"[ST1000DX001] DESKTOP SSHD, 1TB, SATA 6GB/s NCQ,  NAND 8GB, CACHE 64MB, HYBRID, Internal 3.5?",ST1000DX001,105,In Stock,synnex,Seagate,23
"[ST1000LM014] LAPTOP THIN 9.5MM SSHD, 1TB, 5400RPM,SATA 6GB/s Internal 2.5? HDD with NCQ,64MB HYBRID",ST1000LM014,115,In Stock,synnex,Seagate,23
"[ST1000NM0023] CONSTELLATION ES3 ENTERPRISE DRIVES,1TB,7200RPM,SAS,3.5"",128MB",ST1000NM0023,165,In Stock,synnex,Seagate,23
"[ST1000NM0033] CONSTELLATION ES3 ENTERPRISE DRIVES,1TB,7200RPM,SATA,3.5"",128MB",ST1000NM0033,155,In Stock,synnex,Seagate,23
"[ST1000VM002] PIPELINE HD 5900,1TB,5900RPM,SATAII,3.5"",64MB",ST1000VM002,89,In Stock,synnex,Seagate,23
"[ST2000DM001] Barracuda 2TB,7200RPM,SATA3,6GB/S, 3.5"", 64MB",ST2000DM001,101,In Stock,synnex,Seagate,23
"[ST2000DX001] DESKTOP SSHD, 2TB, SATA 6GB/s NCQ,  NAND 8GB, CACHE 64MB, HYBRID, Internal 3.5?",ST2000DX001,139,In Stock,synnex,Seagate,23
"[ST2000NM0023] CONSTELLATION ES3 ENTERPRISE DRIVES,2TB,7200RPM,SAS,3.5"",128MB",ST2000NM0023,235,In Stock,synnex,Seagate,23
"[ST2000NM0033] CONSTELLATION ES3 ENTERPRISE DRIVES,2TB,7200RPM,SATA,3.5"",128MB",ST2000NM0033,245,In Stock,synnex,Seagate,23
"[ST2000VN000] Seagate NAS HDD, 2TB, 5900RPM,SATAII,3.5"",64MB",ST2000VN000,129,In Stock,synnex,Seagate,23
"[ST3000DM001] BARRACUDA 3TB,7200RPM,SATA 6GB/S,3.5"",64MB",ST3000DM001,131,In Stock,synnex,Seagate,23
"[ST3000NC000] CONSTELLATION CS 7200, 3TB,7200RPM,SATA,3.5"",64MB, SED ENCRYPTION",ST3000NC000,245,In Stock,synnex,Seagate,23
"[ST3000NM0023] CONSTELLATION ES3 ENTERPRISE DRIVES,3TB,7200RPM,SAS,3.5"",128MB",ST3000NM0023,395,In Stock,synnex,Seagate,23
"[ST3000NM0033] CONSTELLATION ES3 ENTERPRISE DRIVES,3TB,7200RPM,SATA,3.5"",128MB",ST3000NM0033,349,In Stock,synnex,Seagate,23
"[ST3000VN000] Seagate NAS HDD, 3TB, 5900RPM,SATA 6Gb/s,3.5"",64MB",ST3000VN000,159,In Stock,synnex,Seagate,23
"[ST3300657SS] CHEETAH 15K.7,300GB,15000RPM,SAS,3.5"",16MB",ST3300657SS,299,In Stock,synnex,Seagate,23
"[ST3600057SS] CHEETAH 15K.7,600GB,15000RPM,SAS,3.5"",16MB",ST3600057SS,479,In Stock,synnex,Seagate,23
"[ST4000DM000] Desktop HDD 4TB, SATA3, 3.5"", 64MB",ST4000DM000,188,In Stock,synnex,Seagate,23
"[ST4000DX001] DESKTOP SSHD, 4TB, SATA 6GB/s NCQ,  NAND 8GB, CACHE 64MB, HYBRID, Internal 3.5?",ST4000DX001,229,In Stock,synnex,Seagate,23
"[ST4000NC000] Terascale? HDD, 4TB,5900RPM,SATA,3.5"",64MB, SED ENCRYPTION",ST4000NC000,299,In Stock,synnex,Seagate,23
"[ST4000NM0023] CONSTELLATION ES3 ENTERPRISE DRIVES,4TB,7200RPM,SAS,3.5"",128MB",ST4000NM0023,499,In Stock,synnex,Seagate,23
"[ST4000NM0033] CONSTELLATION ES3 ENTERPRISE DRIVES,4TB,7200RPM,SATA,3.5"",128MB",ST4000NM0033,435,In Stock,synnex,Seagate,23
"[ST4000VM000] Video 3.5 HDD, 4TB, SATA 6Gb/s",ST4000VM000,270,In Stock,synnex,Seagate,23
"[ST4000VN000] Seagate NAS HDD, 4TB, 5900RPM,SATAII,3.5"",64MB",ST4000VN000,228,Pre Order,synnex,Seagate,23
"[ST500DM002] BARRACUDA 500GB,7200RPM,SATAIII 6GB/S,3.5"",16MB",ST500DM002,61,In Stock,synnex,Seagate,23
"[ST500LM000] LAPTOP THIN 7MM SSHD, 500GB, 5400RPM,SATA 6GB/s Internal 2.5? HDD with NCQ,64MB HYBRID",ST500LM000,82,In Stock,synnex,Seagate,23
"[ST500LT012] MOMENTUS 5400.6,500GB,5400RPM,SATAII,2.5"",16MB THIN 7MM",ST500LT012,62,In Stock,synnex,Seagate,23
"[ST600MM0026] SAS/SAVVIO 10.6/10000RPM  600GB 2.5"" 64MB SED ENCRYPTION",ST600MM0026,409,In Stock,synnex,Seagate,23
"[ST900MM0026] SAS/SAVVIO 10.6/10000RPM  900GB 2.5"" 64MB SED ENCRYPTION",ST900MM0026,539,In Stock,synnex,Seagate,23
"[ST91000640SS] CONSTELLATION.2 1TB 7200RPM SAS 2.5"" 64MB",ST91000640SS,319,Pre Order,synnex,Seagate,23
"[STBV2000300] Expansion Desktop 3.5"" 2TB",STBV2000300,123,In Stock,synnex,Seagate,24
"[STBV3000300] DESKTOP EXT DRIVE,3TB, USB 3.0"" G2",STBV3000300,155,In Stock,synnex,Seagate,24
"[STCK1000300] BACKUP PLUS WIRELESS, 1TB, WIFI 802.11/USB3 , 2.5"" EXT, PLATINUM",STCK1000300,214,In Stock,synnex,Seagate,24
"[STDR1000300] BACKUP PLUS SLIM,1TB,USB3.0,2.5"" EXT,TUXEDO BLACK",STDR1000300,103,In Stock,synnex,Seagate,24
"[STDR1000301] BACKUP PLUS SLIM ,1TB,USB3.0,2.5"" EXT,TITANIUM SILVER",STDR1000301,103,In Stock,synnex,Seagate,24
"[STDR1000302] BACKUP PLUS SLIM ,1TB,USB3.0,2.5"" EXT,ROYAL BLUE",STDR1000302,103,In Stock,synnex,Seagate,24
"[STDR1000303] BACKUP PLUS SLIM ,1TB,USB3.0,2.5"" EXT,RUBY RED",STDR1000303,103,In Stock,synnex,Seagate,24
"[STDR2000300] BACKUP PLUS SLIM,2TB,USB3.0,2.5"" EXT,TUXEDO BLACK",STDR2000300,161,In Stock,synnex,Seagate,24
"[STDR2000301] BACKUP PLUS SLIM ,2TB,USB3.0,2.5"" EXT,TITANIUM SILVER",STDR2000301,161,In Stock,synnex,Seagate,24
"[STDR2000302] BACKUP PLUS SLIM ,2TB,USB3.0,2.5"" EXT,ROYAL BLUE",STDR2000302,161,In Stock,synnex,Seagate,24
"[STDR2000303] BACKUP PLUS SLIM ,2TB,USB3.0,2.5"" EXT,RUBY RED",STDR2000303,161,In Stock,synnex,Seagate,24
"[STDT2000300] BACKUP PLUS ,2TB,USB3.0,3.5"" EXT,BLACK, G2",STDT2000300,124,Pre Order,synnex,Seagate,24
"[STDT4000300] BACKUP PLUS ,4TB,USB3.0,3.5"" EXT,BLACK, G2",STDT4000300,234,In Stock,synnex,Seagate,24
[SDC10/16GB] Kingston 16GB microSDHC Class 10 Memory Card,SDC10/16GB,11,Pre Order,synnex,Kingston,25
[SDC10/32GB] Kingston 32GB microSDHC Class 10 Memory Card,SDC10/32GB,19,In Stock,synnex,Kingston,25
[SDCX10/64GB] Kingston 64GB microSDXC Class 10 Memory Card,SDCX10/64GB,43,In Stock,synnex,Kingston,25
